step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,bottom0_stopped,bottom0_accumulated_waiting_time,bottom0_average_speed,bottom1_stopped,bottom1_accumulated_waiting_time,bottom1_average_speed,left0_stopped,left0_accumulated_waiting_time,left0_average_speed,left1_stopped,left1_accumulated_waiting_time,left1_average_speed,right0_stopped,right0_accumulated_waiting_time,right0_average_speed,right1_stopped,right1_accumulated_waiting_time,right1_average_speed,top0_stopped,top0_accumulated_waiting_time,top0_average_speed,top1_stopped,top1_accumulated_waiting_time,top1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
270.0,81,10752.0,114.38297872340425,1.1598311800779473,24,3374.0,0.002257279100858764,21,2178.0,0.1390142032973231,23,3287.0,0.01870490342186752,13,1928.0,0.1101342904146808,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.93802307347075,81,10767.0
275.0,84,11166.0,116.3125,1.1774034866644854,25,3498.0,0.07101129524141506,23,2288.0,0.10093543932572789,23,3402.0,0.02444338267743085,13,1993.0,0.135425134000552,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,84,11181.0
280.0,88,11597.0,118.33673469387755,1.208788069779829,25,3623.0,0.10043586100486161,25,2409.0,0.07155787443958446,25,3522.0,0.03546577177348091,13,2058.0,0.1384361756481424,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,88,11612.0
285.0,90,12040.0,119.20792079207921,0.8355095687245514,25,3748.0,0.02768245401614218,26,2534.0,0.025414876731931425,25,3647.0,0.044300300302170484,14,2126.0,0.04721929124060384,0,0.0,0.36450948184012405,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,90,12055.0
290.0,91,12489.0,122.44117647058823,0.8544069837980341,25,3873.0,0.0044469430914102805,26,2661.0,0.07043764082132216,25,3772.0,0.06209633403981152,15,2198.0,0.002358517482639107,0,0.0,0.9428792009069767,0,0.0,0.3277510342901797,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,91,12504.0
295.0,96,12955.0,125.77669902912622,0.6964339805673931,25,3998.0,0.03825391037342004,28,2794.0,0.033667568557659296,26,3902.0,0.07711396877127596,17,2276.0,1.2271694814968476e-05,0,0.0,1.0,0,0.0,0.9442735173695094,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,96,12970.0
300.0,96,13429.0,129.125,0.4914536827815359,26,4127.0,0.04737308108984891,27,2929.0,0.043565848633133016,27,4034.0,0.011751228140343966,16,2356.0,0.039881128194849826,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,96,13446.0
305.0,100,13924.0,130.13084112149534,0.6854821102530797,27,4260.0,0.06698670756199701,28,3067.0,0.08841292926907571,29,4178.0,2.1664593615005306e-06,16,2436.0,0.05432279980065689,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,100,13941.0
310.0,101,14429.0,132.37614678899084,0.8948592584418392,27,4395.0,0.03368440862542162,28,3207.0,0.08578681115740884,29,4323.0,0.06269113326443364,17,2521.0,0.03983903559061423,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,101,14446.0
315.0,102,14936.0,134.55855855855856,0.8647022983826891,27,4530.0,0.0,29,3349.0,0.046227014518683225,29,4468.0,0.0619001854575389,17,2606.0,0.16540687595100087,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,102,14953.0
320.0,102,15446.0,136.69026548672565,1.049268583137729,27,4665.0,0.03618895324541609,29,3494.0,0.0437014971989597,29,4613.0,0.03311201844158842,17,2691.0,0.16804700457706004,0,0.0,0.7511720778844515,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,102,15463.0
325.0,104,15961.0,138.7913043478261,1.2384748286376095,28,4804.0,0.03275649151770652,29,3639.0,0.08891924093296191,29,4758.0,0.0,18,2777.0,0.17434600768240707,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,104,15978.0
330.0,105,16482.0,140.87179487179486,1.075621757151625,29,4945.0,0.03104886281442042,29,3784.0,0.09278056226332934,29,4903.0,0.0,18,2867.0,0.1392451733304017,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,105,16499.0
335.0,108,17017.0,144.21186440677965,1.0122256319033969,29,5090.0,0.032291790968178385,30,3932.0,0.13962121479283912,29,5048.0,0.0,20,2964.0,0.11365033881887636,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,108,17034.0
